section,token,pos,count
body,!,.,308
body,&,CC,1
body,','',16
body,',POS,16
body,',UNK,1
body,'','',778
body,"'///,-//",UNK,1
body,'11,CD,1
body,'T,PRP,3
body,'s,POS,331
body,'s,VBZ,2
body,(617),UNK,1
body,*,NN,1
body,*,SYM,2
body,",",",",4790
body,",",UNK,3
body,-,:,32
body,--,:,279
body,-LRB-,-LRB-,7
body,-LSB-,-LRB-,3
body,-RRB-,-RRB-,7
body,-RSB-,-RRB-,3
body,.,$.,1
body,.,.,2673
body,.,UNK,7
body,...,:,2
body,/,:,2
body,/,UNK,3
body,/./,UNK,1
body,//,UNK,2
body,///,UNK,2
body,///*.,UNK,1
body,///■r,UNK,1
body,"//;,,//.//",UNK,1
body,/■//,UNK,1
body,/■///■//,UNK,1
body,02138,UNK,1
body,1,CD,5
body,10,CD,1
body,11,CD,1
body,12,CD,1
body,13,CD,1
body,14,CD,1
body,15,CD,1
body,16,CD,1
body,17,CD,1
body,18,CD,1
body,18.I&CV,UNK,1
body,1892,CD,1
body,1892,UNK,1
body,1903,UNK,1
body,2,CD,4
body,26th,JJ,1
body,3,CD,1
body,4,CD,1
body,495-2413,UNK,1
body,5,CD,1
body,6,CD,1
body,9,CD,1
body,93,UNK,1
body,:,:,70
body,;,:,803
body,<,JJR,2
body,?,.,260
body,A,DT,24
body,ABBEY,NNP,1
body,AN,UNK,1
body,AND,UNK,2
body,AUSTEN,UNK,1
body,About,IN,1
body,Accordingly,RB,1
body,Adieu,NNP,1
body,After,IN,21
body,Again,RB,2
body,Ah,UH,2
body,All,DT,6
body,Allow,VB,1
body,Already,RB,1
body,Amazed,VBN,1
body,An,DT,4
body,And,CC,97
body,Anne,NNP,1
body,Annesley,NNP,3
body,Another,DT,2
body,Anxiety,NN,1
body,Anxious,JJ,1
body,Any,DT,1
body,April,NNP,1
body,Are,VBP,6
body,As,IN,24
body,As,RB,8
body,Ashworth,NNP,1
body,Assistance,NN,1
body,Astonishment,NN,1
body,At,IN,23
body,August,NNP,1
body,Aunt,NNP,1
body,Austen,UNK,1
body,Away,RB,1
body,Axe,NNP,1
body,Ay,NN,1
body,B.,NNP,1
body,BE,UNK,1
body,BEFORE,UNK,1
body,BELOW,UNK,1
body,BOOK,UNK,1
body,BORROWER,UNK,2
body,BOSTON,UNK,1
body,BROWN,UNK,1
body,BY,UNK,1
body,Bakewell,NNP,1
body,Balls,NNS,1
body,Barnet,NNP,2
body,Bath,NNP,1
body,Be,VB,4
body,Because,IN,2
body,Before,IN,1
body,Beimet,NNP,1
body,Bell,NNP,1
body,Ben-net,NNP,2
body,Bennet,NNP,133
body,Bennets,NNPS,5
body,Besides,IN,1
body,Bingley,NN,3
body,Bingley,NNP,90
body,Bingley,VB,1
body,Bingleys,NNPS,1
body,Birmingham,NNP,1
body,Blame,VB,1
body,Blenheim,NNP,1
body,Bnt,NN,1
body,Bonnet,NNP,1
body,Both,DT,1
body,Bourgh,NNP,7
body,Bourne,NNP,1
body,Brighton,NNP,24
body,Britain,NNP,1
body,Bromley,NNP,1
body,Brother,NNP,1
body,Brother-in-law,NN,1
body,Brothers,NNPS,1
body,But,CC,180
body,By,IN,6
body,C,$,1
body,CAMERON,UNK,1
body,CHAPTEE,NNP,5
body,CHAPTER,NN,22
body,CHAPTER,NNP,1
body,CHARGED,UNK,1
body,CLASS,UNK,1
body,COLLEGE,UNK,1
body,COMPANY,UNK,1
body,Calling,VBG,1
body,Cambridge,NNP,2
body,Cambridge,UNK,1
body,Can,MD,6
body,Catherine,NNP,45
body,Certainly,RB,2
body,Chamberlayne,NNP,1
body,Char,SYM,1
body,Charlotte,NNP,9
body,Chatsworth,NNP,1
body,Christian,JJ,1
body,Christian,NNP,1
body,Christmas,NNP,3
body,Clapham,NNP,4
body,Clement,NNP,1
body,College,UNK,1
body,Collins,NNP,25
body,Collinses,NNPS,5
body,Colonel,NNP,35
body,Come,VB,4
body,Complied,VBN,1
body,Conceal,VB,1
body,Conjectures,NNS,1
body,Consider,VB,1
body,Console,NNP,1
body,Consoled,VBN,1
body,Convinced,JJ,1
body,Copyright,NN,1
body,Could,MD,7
body,Courier,NNP,1
body,DATE,UNK,1
body,DOES,UNK,1
body,Darct,NNP,1
body,Darcy,NN,2
body,Darcy,NNP,189
body,Daughters,NNS,1
body,Dawson,NNP,1
body,Dear,NNP,5
body,Dearest,NNP,2
body,Denny,NNP,5
body,Derbyshire,NNP,18
body,Detection,NN,1
body,Did,VBD,9
body,Do,VB,7
body,Do,VBP,5
body,Does,VBZ,2
body,Dovedale,NNP,2
body,During,IN,1
body,E.,NNP,1
body,END,NN,1
body,EXEMPT,UNK,1
body,Each,DT,1
body,Eager,NNP,1
body,East,NNP,1
body,Edw,NNP,1
body,Edward,NNP,1
body,Eliza,NNP,2
body,Elizabeth,NNP,330
body,Emma,NNP,1
body,Engaged,VBN,1
body,Epsom,NNP,3
body,Esq.,NNP,1
body,Ever,RB,1
body,Every,DT,7
body,Everybody,NN,1
body,Everything,NN,4
body,Exceed,VB,1
body,Exceedingly,RB,1
body,Excellent,JJ,1
body,Except,IN,1
body,Excuse,VB,1
body,F.,NNP,5
body,FEE,UNK,1
body,FEES,UNK,1
body,FORBES,UNK,1
body,FROM,UNK,2
body,Far,NNP,1
body,Fatigued,VBN,1
body,Fitzwilliam,NNP,11
body,Five,CD,2
body,Fixed,VBN,1
body,For,IN,13
body,Forgive,VB,2
body,Forster,NNP,32
body,Forsters,NNPS,1
body,Four,CD,2
body,French,JJ,1
body,From,IN,15
body,Gardiner,NNP,81
body,Gardiners,NNP,4
body,General,NNP,2
body,Generous,JJ,1
body,George,NNP,4
body,Georgiana,NNP,12
body,Georgians,NNS,1
body,Girls,NNS,1
body,Give,VB,2
body,Go,VB,2
body,God,NN,1
body,God,NNP,1
body,Good,JJ,10
body,Good-by,JJ,1
body,Goulding,NNP,1
body,Gouldings,NNPS,2
body,Gracechurch,NNP,6
body,Great,JJ,1
body,Green,NNP,2
body,Gretna,NNP,2
body,HARVARD,UNK,1
body,HEN,NN,1
body,Had,VBD,21
body,Haggerston,NNP,2
body,Happy,JJ,2
body,Harriet,NNP,2
body,Harringtons,NNPS,1
body,Harvard,UNK,1
body,Has,VBZ,3
body,Hate,VB,1
body,Hatfield,NNP,1
body,Have,VBP,8
body,Having,VBG,4
body,Haye,NNP,1
body,He,PRP,131
body,Hear,VB,1
body,Heaven,NNP,8
