section,token,pos,count
body,!,.,28
body,!!,.,2
body,!!!,.,1
body,$,$,58
body,%,NN,76
body,&,CC,5
body,','',25
body,',POS,55
body,'','',748
body,'S,POS,18
body,'em,PRP,1
body,'m,VBP,1
body,'s,POS,455
body,'s,VBZ,5
body,'ve,VBP,1
body,(,UNK,1
body,*,NN,7
body,*,SYM,188
body,",",",",11070
body,",",UNK,6
body,",389,403",CD,1
body,",499,500",CD,1
body,-,:,158
body,--,:,736
body,-LCB-,-LRB-,1
body,-LRB-,-LRB-,358
body,-LSB-,-LRB-,8
body,-RCB-,-RRB-,2
body,-RRB-,-RRB-,360
body,-RSB-,-RRB-,8
body,.,.,7355
body,.,UNK,9
body,".,",UNK,1
body,...,:,10
body,.0,CD,1
body,/,:,29
body,0,CD,1
body,000,CD,6
body,1,CD,35
body,1,LS,10
body,"1,",UNK,1
body,"1,000,000",CD,2
body,"1,003.5",CD,1
body,"1,039,700",CD,1
body,"1,117,000,000",CD,1
body,"1,1927",CD,1
body,"1,1934",CD,1
body,"1,1937",CD,3
body,"1,1938",CD,10
body,"1,1940",CD,1
body,"1,1941",CD,2
body,"1,200,000",CD,3
body,"1,257,750",CD,1
body,"1,260,000",CD,1
body,"1,300,000",CD,2
body,"1,302,000,000",CD,1
body,"1,343",CD,1
body,"1,350,000",CD,1
body,"1,350,000,000",CD,1
body,"1,400,000",CD,1
body,"1,400,000,000",CD,1
body,"1,495,500,000",CD,1
body,"1,500,000",CD,3
body,"1,600,000",CD,1
body,"1,750,000",CD,1
body,"1,800,000",CD,5
body,"1,817,430",CD,1
body,"1,850.0",CD,1
body,"1,929,147",CD,1
body,"1,970,000",CD,1
body,1.00,CD,10
body,1.16-1.12,CD,3
body,1.20,CD,2
body,1.43,CD,2
body,1.5,CD,3
body,1.7,CD,1
body,1.94,CD,5
body,10,CD,38
body,"10,000",CD,4
body,"10,000,000",CD,2
body,"10,1937",CD,7
body,"10,1938",CD,6
body,"10,1939",CD,2
body,"10,1941",CD,1
body,"10,886,632",CD,1
body,10-11,CD,1
body,10-year,JJ,1
body,100,CD,11
body,"100,000",CD,8
body,"100,000,000",CD,1
body,1000,CD,15
body,1004,CD,1
body,1007,CD,1
body,101,CD,1
body,1011,CD,1
body,103,CD,1
body,1030,CD,1
body,1039,CD,1
body,104,CD,1
body,105,CD,5
body,106,CD,2
body,"106,000",CD,1
body,1065,CD,1
body,107,CD,2
body,"107,108",CD,1
body,1074,CD,1
body,108,CD,1
body,109,CD,3
body,10:30,CD,1
body,10:40,CD,1
body,11,CD,20
body,"11,1937",CD,6
body,"11,1938",CD,2
body,"11,1939",CD,1
body,"11,1941",CD,1
body,"110,000",CD,1
body,"110,117,118,120,128,151,164",CD,1
body,1104,CD,1
body,1105,CD,1
body,111,CD,6
body,"111,384,000",CD,1
body,111-112,CD,1
body,112,CD,2
body,"112,116,117,120-121,157",CD,1
body,"112,230,231,233,261,276",CD,1
body,113,CD,1
body,113-114,CD,1
body,"113-114,115,117,130,132,133",CD,1
body,114,CD,4
body,1149,CD,1
body,115,CD,1
body,115-116,CD,1
body,1152,CD,1
body,116,CD,3
body,116-117,CD,1
body,117,CD,1
body,118,CD,3
body,119,CD,1
body,119-120,CD,1
body,11:00,CD,1
body,11:30,CD,1
body,11:40,CD,1
body,12,CD,46
body,"12,000",CD,3
body,"12,1937",CD,4
body,"12,1938",CD,4
body,"12,1939",CD,1
body,"12,1941",CD,1
body,12.5,CD,1
body,12.50,CD,2
body,120,CD,4
body,1200,CD,3
body,121,CD,1
body,"123,000",CD,1
body,1230,UNK,1
body,1233,CD,1
body,124,CD,1
body,"124,000",CD,1
body,124-127,CD,1
body,125,CD,2
body,"125,000",CD,3
body,125.3,CD,1
body,127,CD,5
body,127-128,CD,1
body,128,CD,3
body,129,CD,3
body,12:30,CD,4
body,12:45,CD,1
body,13,CD,17
body,"13,000",CD,2
body,"13,14",CD,1
body,"13,1937",CD,3
body,"13,1938",CD,1
body,13-15,CD,1
body,130,CD,5
body,1300,CD,2
body,131,CD,3
body,1310,CD,1
body,1311,CD,1
body,1318,CD,1
body,132,CD,1
body,132-133,CD,1
body,"132-133,162,173,269",CD,1
body,1325,CD,1
body,1327,CD,1
body,1328,CD,3
body,133,CD,2
body,"133,174,231,232,234,239,344",CD,1
body,1330,CD,1
body,1332,CD,1
body,1333,CD,1
body,1335,CD,1
body,1339,CD,1
body,134,CD,4
body,1341,CD,3
body,1342,CD,1
body,1348,CD,1
body,135,CD,2
body,137,CD,1
body,138,CD,1
body,139,CD,2
body,"139,140",CD,1
body,139-140,CD,1
body,14,CD,18
body,"14,000",CD,1
body,"14,000,000,000",CD,1
body,"14,1936",CD,1
body,"14,1937",CD,4
body,"14,1938",CD,6
body,"14,1940",CD,1
body,14.1,CD,1
body,"140,000,000",CD,1
body,140-141,CD,1
body,141,CD,8
body,141-143,CD,1
body,142,CD,3
body,"142,143,144,146,159",CD,1
body,1427,CD,1
body,143,CD,2
body,"143,144",CD,1
body,143-144,CD,1
body,144,CD,3
body,145,CD,5
body,"145,148,154,167,171,218,223",CD,1
body,145-146,CD,1
body,"146,147",CD,1
body,"146,150,157,162,222,228,296",CD,1
body,146-147,CD,1
body,147,CD,4
body,147-148,CD,1
body,148,CD,1
body,148.5,CD,1
body,149,CD,7
body,"149,000,000",CD,1
body,"149,486",CD,1
body,14^April,UNK,1
body,14lH,NN,1
body,15,CD,39
body,"15,000",CD,6
body,"15,1936",CD,1
body,"15,1937",CD,7
body,"15,1938",CD,2
body,"15,1939",CD,1
body,"15,1940",CD,1
body,"15,1941",CD,1
body,150,CD,18
body,"150,000",CD,1
body,1500,CD,4
body,151,CD,5
body,152,CD,13
body,153,CD,3
body,153.5,CD,1
body,154,CD,1
body,155,CD,1
body,156,CD,1
body,157,CD,3
body,158,CD,2
body,158-159,CD,1
body,159,CD,2
body,16,CD,32
body,"16,000",CD,2
body,"16,000,000",CD,1
body,"16,19",CD,1
body,"16,1936",CD,2
body,"16,1937",CD,6
body,"16,1938",CD,1
body,"16,1939",CD,1
body,"16,1940",CD,1
body,"16,1941",CD,1
body,"16,21,24-28",CD,1
body,16.1,CD,1
body,160,CD,1
body,161,CD,3
body,"161,163,167,172,174,181,190",CD,1
body,"161,336",CD,1
body,162,CD,3
body,163,CD,1
body,164,CD,1
body,"164,100",CD,1
body,165,CD,3
body,"166,167,169,170-171,173,176",CD,1
body,167,CD,3
body,168,CD,2
body,168-169,CD,1
body,169,CD,7
body,"169,176",CD,1
body,"169,257",CD,1
body,169-170,CD,2
body,17,CD,25
body,"17,000",CD,1
body,"17,19",CD,1
body,"17,1937",CD,4
body,"17,1938",CD,4
body,"17,1939",CD,3
body,"17,1941",CD,1
body,"17,776,000",CD,1
body,17-year,JJ,1
body,17.8,CD,1
body,170,CD,2
body,"170,171,208,216,217,291,297",CD,1
body,170-171,CD,1
body,1700,CD,1
body,171,CD,1
body,1712,CD,1
body,172,CD,1
body,173,CD,1
body,175,CD,1
body,"175,000",CD,1
body,"175,000,000",CD,1
body,175-176,CD,1
body,176,CD,4
body,177,CD,7
body,"177,193,209,211",CD,1
body,"177,341",CD,1
body,1775,CD,5
body,1776,CD,1
body,178,CD,2
body,"178,215,226",CD,1
body,179,CD,1
body,18,CD,9
body,"18,000",CD,1
body,"18,1937",CD,10
body,"18,1938",CD,1
body,"18,1939",CD,4
body,"18,1941",CD,2
body,"18,49",CD,1
body,"18,49,98",CD,1
body,"18,98,275",CD,1
body,18.9,CD,1
body,180,CD,4
body,1800,CD,1
body,181,CD,1
body,1821,CD,1
body,1823,CD,1
body,1841,CD,1
body,185,CD,6
body,185-186,CD,1
body,187,CD,1
body,188,CD,1
body,1888,CD,1
body,189,CD,3
body,"189,190",CD,1
body,1894,CD,1
body,1895,CD,1
body,1897,CD,2
body,"1897,1910",CD,1
body,1898,CD,1
body,18th,JJ,3
body,19,CD,18
body,"19,139,000",CD,1
body,"19,1937",CD,8
body,"19,1938",CD,2
body,"19,1939",CD,1
body,1900,CD,3
body,1901,CD,2
body,191,CD,1
body,191-192,CD,1
body,1910,CD,1
body,1912,CD,2
body,1913,CD,10
body,1914,CD,1
body,1915,CD,2
body,1917,CD,5
body,1917-1926,CD,1
body,1918,CD,2
body,1920,CD,2
body,1921,CD,2
body,1922,CD,2
body,1923,CD,1
body,1924,CD,9
body,1925,CD,4
body,1926,CD,3
body,1926-27,CD,1
body,1926-30,CD,1
body,1927,CD,5
body,1927-38,CD,1
body,1928,CD,10
body,1929,CD,11
body,193,CD,1
body,1930,CD,9
body,1931,CD,12
body,1932,CD,18
body,1933,CD,14
body,1933-35,CD,1
body,1934,CD,19
body,1934-35,CD,6
body,1934-36,CD,1
body,1934-37,CD,1
body,"1934-39,132,233,236,251",CD,1
body,1935,CD,44
body,1936,CD,43
body,1937,CD,99
body,1938,CD,67
body,1938,UNK,1
body,1939,CD,17
body,194,CD,7
body,194-195,CD,1
body,1940,CD,4
body,1941,CD,16
body,"1941,",UNK,1
body,"1941,4",CD,1
body,1944,CD,1
body,195,CD,1
body,1957,CD,1
body,196,CD,1
body,197,CD,3
body,198,CD,1
body,1987,CD,1
body,199,CD,1
body,19S7,CD,1
body,1S5,NNP,1
body,2,CD,18
body,2,LS,17
body,"2,000,000",CD,4
body,"2,100,000",CD,1
body,"2,1937",CD,3
body,"2,1938",CD,4
body,"2,1939",CD,1
body,"2,200,000,000",CD,1
body,"2,217,000,000",CD,1
body,"2,225.0",CD,1
body,"2,315,000",CD,1
body,"2,459,000",CD,1
body,2.6,CD,1
body,20,CD,40
body,"20,000",CD,2
body,"20,000,000",CD,2
body,"20,1936",CD,1
body,"20,1937",CD,5
body,"20,1938",CD,1
body,"20,1939",CD,1
body,"20,1941",CD,1
body,200,CD,14
body,"200,000",CD,4
body,"200,000,000",CD,3
body,"200,201,203,230,231,232",CD,1
body,2000,CD,10
body,201,CD,5
body,202,CD,1
body,203,CD,2
body,"203,300,000",CD,1
body,205,CD,1
body,207,CD,1
body,208,CD,2
body,209,CD,2
body,21,CD,8
body,"21,000,000,000",CD,1
body,"21,1937",CD,5
body,"21,1939",CD,1
body,210-211,CD,1
body,210.9,CD,1
body,2100,CD,1
body,211,CD,2
body,211-212,CD,1
body,212,CD,1
body,"212,214-215",CD,1
body,212-213,CD,1
body,213,CD,4
body,214,CD,3
body,"214,000",CD,1
body,215,CD,1
body,216,CD,1
body,217,CD,2
body,218,CD,2
body,219,CD,2
body,22,CD,17
body,"22,1937",CD,3
body,"22,1938",CD,2
body,"22,1939",CD,1
body,"22,431,030,000",CD,1
body,22-3,CD,1
body,220,CD,11
body,221,CD,4
body,222,CD,5
body,223,CD,6
body,"223,275,321-322",CD,1
body,"223-225,247",CD,1
body,225,CD,5
body,"225,230",CD,1
body,225-226,CD,1
body,226,CD,4
body,226-227,CD,1
body,227,CD,3
body,"227,255,265,269,272,273,274",CD,1
body,228,CD,3
body,229,CD,6
body,23,CD,21
body,"23,1936",CD,1
body,"23,1937",CD,4
body,"23,1938",CD,2
body,"23,1941",CD,1
body,23-24,CD,1
body,23-30,CD,1
body,23.3,CD,1
body,23.6,CD,1
body,230,CD,2
body,231,CD,5
body,"231,232,233,234",CD,1
body,232,CD,3
body,233,CD,13
body,235,CD,3
body,237,CD,1
body,"237,270",CD,1
body,2371.5,CD,1
body,238,CD,2
body,239,CD,1
body,"239,269,275,276,280,296,297",CD,1
body,24,CD,11
body,"24,000",CD,1
body,"24,174",CD,1
body,"24,1937",CD,5
body,"24,1938",CD,2
body,"24,1939",CD,1
body,"24,1941",CD,1
body,240,CD,3
body,"240,241,242",CD,1
body,241,CD,2
body,"241,000,000",CD,1
body,241-245,CD,1
body,242,CD,2
body,243,CD,3
body,"243,244,436,461",CD,1
body,"243,247,250,251",CD,1
body,244,CD,1
body,2446,CD,1
body,245-246,CD,1
body,246,CD,1
body,"246,248",CD,1
body,246-248,CD,1
body,247,CD,2
body,"248,000",CD,1
body,249,CD,3
body,25,CD,31
body,"25,000",CD,4
body,"25,1936.1",CD,1
body,"25,1937",CD,9
body,"25,1938",CD,1
body,"25,1939",CD,1
body,25.4,CD,1
body,250,CD,7
body,"250,000",CD,3
body,"250,000,000",CD,2
body,2500,CD,3
body,251,CD,3
body,252,CD,3
body,253,CD,2
body,254,CD,2
body,"254,000,000",CD,1
body,"254,255",CD,1
body,"254,262,263-266,267",CD,1
body,255,CD,3
body,256,CD,3
body,"256,263,265,283,307,339,342",CD,1
body,257,CD,5
body,"257,261,266,270,278,403",CD,1
body,259,CD,1
body,26,CD,16
body,"26,000",CD,1
body,"26,169",CD,1
body,"26,174",CD,1
body,"26,1937",CD,9
body,"26,1938",CD,4
body,"26,1939",CD,1
body,"26,1940",CD,1
body,"26,604",CD,1
body,26.7,CD,1
body,261,CD,3
body,"261,262,266,268,269,279,389",CD,1
body,261-262,CD,2
body,262,CD,7
body,263,CD,3
body,"263,291,307,342",CD,1
body,264,CD,2
body,265,CD,3
body,"265-266,284",CD,1
body,266,CD,5
body,"266,000",CD,1
body,"266,270",CD,1
body,268,CD,5
body,269,CD,2
body,27,CD,10
body,"27,000",CD,1
body,"27,1937",CD,2
body,"27,1938",CD,1
body,"27,1939",CD,2
body,"27,1941",CD,1
body,"27,558,000",CD,1
body,270,CD,6
body,271,CD,1
body,"271,279-280",CD,1
body,272,CD,1
body,273,CD,6
body,275,CD,12
body,276,CD,1
body,"276,000,000",CD,1
body,276.4,CD,1
body,277,CD,1
body,277-278,CD,1
body,278,CD,3
body,"278,471",CD,1
body,278.1,CD,1
body,279,CD,2
body,28,CD,24
body,"28,1937",CD,10
body,"28,1938",CD,1
body,"28,1939",CD,1
body,"28,1941",CD,1
body,28-29,CD,1
body,280,CD,3
body,2800,CD,1
body,281,CD,1
body,283,CD,3
body,"283,284,289,290,291,292,295",CD,1
body,284,CD,2
body,"284,000",CD,1
body,"284,297",CD,1
body,286,CD,7
body,287,CD,4
body,287-288,CD,2
body,288,CD,3
body,289,CD,2
body,29,CD,28
body,"29,164-166",CD,1
body,"29,1937",CD,6
body,"29,1938",CD,5
body,"29,1939",CD,2
body,"29,1941",CD,1
body,"29,90",CD,1
body,290-292,CD,1
body,291,CD,2
body,293,CD,1
body,294-295,CD,1
body,295,CD,1
body,295-296,CD,1
body,296,CD,3
body,297,CD,1
body,298,CD,1
body,299,CD,3
body,"299,000,000",CD,1
body,"299,300,301,306,307,317,335",CD,1
body,2>K,UNK,1
body,3,CD,40
body,3,LS,12
body,"3,000,000",CD,1
body,"3,1",CD,1
body,"3,1937",CD,2
body,"3,1941",CD,4
body,"3,200,000",CD,1
body,"3,209.2",CD,1
body,"3,470,000,000",CD,1
body,"3,500,000",CD,1
body,3.2,CD,1
body,3.3,CD,1
body,3.30,CD,1
body,30,CD,27
body,"30,000",CD,1
body,"30,000,000",CD,3
body,"30,1936",CD,1
body,"30,1937",CD,6
body,"30,1938",CD,3
body,"30,1940",CD,2
body,300,CD,11
body,"300,000",CD,1
body,"300,000,000",CD,1
body,300-600,CD,1
body,3000,CD,2
body,302,CD,2
body,303,CD,1
body,304,CD,1
body,305,CD,1
body,306,CD,3
body,31,CD,13
body,"31,1937",CD,1
body,"31,1939",CD,1
body,"31,1941",CD,1
body,311,CD,1
body,313,CD,3
body,313-314,CD,1
body,314,CD,2
body,"314,315,334,351,354,358,361",CD,1
body,316,CD,3
body,317,CD,5
body,"317,318,331,332",CD,1
body,318,CD,1
body,"318,405",CD,1
body,319,CD,1
body,31S,NN,1
body,32,CD,8
body,"32,000,000",CD,1
body,"32,212,000",CD,1
body,"32,700,000,000",CD,1
body,32-53,CD,1
body,32.3,CD,1
body,320,CD,4
body,321,CD,10
body,322,CD,2
body,322-324,CD,1
body,323,CD,1
body,"323,000,000",CD,1
body,"323,345,433",CD,1
body,"325,000",CD,1
body,326,CD,3
body,327,CD,4
body,"327,000",CD,1
body,"327,661,000",CD,1
body,329,CD,1
body,33,CD,5
body,"33,000,000",CD,2
body,33-39,CD,1
body,331,CD,3
body,332,CD,1
body,333,CD,4
body,335,CD,2
body,336,CD,2
body,"336,339,340,347,348,351,353",CD,1
body,336-337,CD,1
body,"336-337,354",CD,1
body,337,CD,4
body,338,CD,4
body,338-339,CD,1
body,339,CD,2
body,33i/3,CD,1
body,34,CD,4
body,"34,35,39,40,42,45",CD,1
body,34.9,CD,1
body,340,CD,2
body,"340,000,000",CD,1
body,340-341,CD,1
body,341,CD,2
body,341-343,CD,1
body,343,CD,5
body,343-350,CD,1
body,344,CD,4
body,345,CD,2
body,346,CD,1
body,346-347,CD,1
body,347,CD,4
body,348,CD,3
body,349,CD,2
body,"349,357,371-372",CD,1
body,35,CD,11
body,"35,000",CD,1
body,"35,38,98,385,389",CD,1
body,350,CD,7
body,"350,000",CD,3
body,"350,000,000",CD,2
body,351,CD,2
body,352,CD,12
body,353,CD,4
body,353-354,CD,1
body,354,CD,2
body,355,CD,4
body,356,CD,4
body,357,CD,2
body,358,CD,1
body,359,CD,2
body,"359,360,362",CD,1
body,36,CD,3
body,360,CD,3
body,361,CD,5
body,361-362,CD,1
body,362,CD,3
body,"362,364,368,369,370,432,449",CD,1
body,363,CD,3
body,364,CD,1
body,364-366,CD,1
body,365,CD,1
body,366,CD,1
body,367,CD,1
body,"367,170,949",CD,1
body,368,CD,2
body,369,CD,7
body,37,CD,2
body,"37,000",CD,1
body,370,CD,6
body,370-371,CD,1
body,371,CD,1
body,"371,373",CD,1
body,372,CD,4
body,373,CD,5
body,"373,430",CD,1
body,374,CD,4
body,"374,415,425,430,433,434,-438",CD,1
body,375,CD,3
body,"376,000,000",CD,1
body,377,CD,1
body,379,CD,1
body,379.5,CD,1
body,38,CD,7
body,"38,000",CD,4
body,"38,400,000",CD,2
body,380,CD,2
body,"380,389",CD,1
body,381,CD,1
body,383,CD,1
body,384,CD,1
body,385,CD,2
body,386,CD,3
body,387,CD,3
body,388,CD,1
body,389,CD,3
body,39,CD,5
body,"39,000,000",CD,1
body,39-40,CD,1
body,390,CD,2
body,391,CD,1
body,"391,400,402-403,404,405",CD,1
body,391.4,CD,1
body,393,CD,2
